Phenotype ID:,BXD_11280
Phenotype URL: ,http://genenetwork.org/show_trait?trait_id=11280&dataset=BXDPublish
Group: ,BXD
Phenotype: ,"Skin"","" pigmentation: Hair coat color"","" ordinal scale version 2 where black=4"","" grey=3"","" brown=2"","" dba dilute=1 (updated 2016) [color intensity]"
Authors: ,"Lu L, Williams RW"
Title: ,Gene loci that are related to the coat color
Journal: ,N/A
Dataset Link: ,http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish
Export Date: ,"September 28, 2022"
Export Time: ,09:33 GMT
Index,Name,Value
1,C57BL/6J,4
2,DBA/2J,1
3,B6D2F1,4
4,D2B6F1,4
5,BXD1,1
6,BXD2,4
7,BXD5,3
8,BXD6,3
9,BXD8,3
10,BXD9,1
11,BXD11,4
12,BXD12,3
13,BXD13,2
14,BXD14,4
15,BXD15,2
16,BXD16,3
17,BXD18,3
18,BXD19,3
19,BXD20,4
20,BXD21,1
21,BXD22,3
22,BXD23,4
23,BXD24,2
24,BXD24a,2
25,BXD25,2
26,BXD27,2
27,BXD28,2
28,BXD29,3
29,BXD30,1
30,BXD31,4
31,BXD32,4
32,BXD33,3
33,BXD34,4
34,BXD35,4
35,BXD36,2
36,BXD38,3
37,BXD39,3
38,BXD40,3
39,BXD42,4
40,BXD43,4
41,BXD44,1
42,BXD45,1
43,BXD48,4
44,BXD48a,4
45,BXD49,3
46,BXD50,4
47,BXD51,4
48,BXD52,2
49,BXD53,2
50,BXD55,2
51,BXD56,4
52,BXD59,2
53,BXD60,2
54,BXD61,1
55,BXD62,2
56,BXD63,1
57,BXD64,1
58,BXD65,2
59,BXD65a,2
60,BXD65b,1
61,BXD66,2
62,BXD67,1
63,BXD68,2
64,BXD69,1
65,BXD70,1
66,BXD71,1
67,BXD72,2
68,BXD73,1
69,BXD73a,1
70,BXD73b,1
71,BXD74,2
72,BXD75,1
73,BXD76,3
74,BXD77,1
75,BXD78,2
76,BXD79,3
77,BXD81,1
78,BXD83,1
79,BXD84,1
80,BXD85,1
81,BXD86,4
82,BXD87,4
83,BXD88,2
84,BXD89,1
85,BXD90,1
86,BXD91,1
87,BXD93,1
88,BXD94,3
89,BXD95,1
90,BXD98,1
91,BXD99,1
92,BXD100,4
93,BXD101,3
94,BXD102,2
95,BXD104,2
96,BXD105,4
97,BXD106,2
98,BXD107,1
99,BXD108,2
100,BXD109,4
101,BXD110,4
102,BXD111,2
103,BXD112,1
104,BXD113,1
105,BXD114,2
106,BXD115,2
107,BXD116,4
108,BXD117,3
109,BXD119,4
110,BXD120,4
111,BXD121,4
112,BXD122,3
113,BXD123,4
114,BXD124,4
115,BXD125,4
116,BXD126,2
117,BXD127,2
118,BXD128,2
119,BXD128a,4
120,BXD130,3
121,BXD131,4
122,BXD132,2
123,BXD133,4
124,BXD134,2
125,BXD135,3
126,BXD136,4
127,BXD137,3.5
128,BXD138,1
129,BXD139,3
130,BXD141,3
131,BXD142,4
132,BXD144,3
133,BXD145,4
134,BXD146,3
135,BXD147,3
136,BXD148,4
137,BXD149,4
138,BXD150,2
139,BXD151,4
140,BXD152,4
141,BXD153,4
142,BXD154,4
143,BXD155,3
144,BXD156,4
145,BXD157,3
146,BXD160,1
147,BXD161,1
148,BXD162,3
149,BXD165,4
150,BXD168,1
151,BXD169,3
152,BXD170,1
153,BXD171,4
154,BXD172,3
155,BXD173,4
156,BXD174,3
157,BXD175,3
158,BXD176,3
159,BXD177,2
160,BXD178,3
161,BXD180,3
162,BXD181,3
163,BXD183,3
164,BXD184,3
165,BXD186,4
166,BXD187,1
167,BXD188,1
168,BXD189,1
169,BXD190,4
170,BXD191,4
171,BXD192,2
172,BXD193,2
173,BXD194,2
174,BXD195,2
175,BXD196,2
176,BXD197,2
177,BXD198,3
178,BXD199,4
179,BXD200,2
180,BXD201,1
181,BXD202,3
182,BXD203,2
183,BXD204,4
184,BXD205,3
185,BXD206,1
186,BXD207,4
187,BXD208,3
188,BXD209,2
189,BXD210,4
190,BXD211,3
191,BXD212,3
192,BXD213,3.3
193,BXD214,3.5
194,BXD215,3
195,BXD216,1
196,BXD217,4
197,BXD218,4
198,BXD219,4
199,BXD220,1
