gene,log2fold,p_mwu,p_wilcoxon,p_student,p_corr,interesting
544988,-0.0417264957264951,0.00246182472034738,0.00684449843174662,0.0247163677370144,0.00708594025425586,FALSE
100043387,-0.0944102564102618,0.158807513528114,0.0288793277541117,0.110500647252569,0.238168585842262,FALSE
0610007C21Rik,-0.0118717948717944,0.368413102475616,0.504682865596122,0.598619484931167,0.468539839402288,FALSE
0610007L01Rik,0.00737179487179418,0.956165802702344,0.538709067310265,0.689182787061769,0.971427067315594,FALSE
0610007P08Rik,-0.0617179487179502,0.046181563677923,0.0299665838902001,0.067333108443386,0.0850164169625842,FALSE
0610007P14Rik,-0.151230769230768,0.0171462220871996,0.00261549898641533,0.0133538274094351,0.0372276760195782,FALSE
0610007P22Rik,-0.0428717948717949,0.273831228904176,0.052566509348253,0.216041196727034,0.37024613803472,FALSE
0610008F07Rik,0.19351282051282,0.00513911100382538,0.0182132975169225,0.00940340860482936,0.0133395730823261,FALSE
0610009B14Rik,0.0434871794871787,0.100188090006221,0.146148086303583,0.229029999854223,0.162244194569484,FALSE
0610009B22Rik,-0.0530256410256431,0.0188489933210328,0.020500839666056,0.051460113408711,0.0403087952318223,FALSE
0610009D07Rik,0.0605641025640988,0.182157406313429,0.077378647387377,0.176753232455619,0.26684071352343,FALSE
0610009L18Rik,-0.0350000000000019,0.46566299627243,0.614254630796495,0.356992461664264,0.564432097247073,FALSE
0610009O20Rik,-0.110717948717944,3.91E-05,4.40E-06,0.000126980305268604,0.000201662718572135,FALSE
0610010F05Rik,0.0570769230769255,0.263014682462008,0.252713537021918,0.198491895950097,0.358635519625825,FALSE
0610010K06Rik,-0.117653846153845,0.000974038184230956,0.000104591588751646,0.000790988297323052,0.00320566855065097,FALSE
0610010K14Rik,-0.188897435897436,2.42E-05,4.40E-06,3.51E-05,0.000133750648853406,FALSE
0610010O12Rik,0.0676410256410236,0.193870656436677,0.0660981099354103,0.20447506472214,0.280411851362466,FALSE
0610011F06Rik,0.0356666666666712,0.322476125935692,0.313485832025338,0.323040540894394,0.421627462246467,FALSE
0610011L14Rik,-0.05917948717949,0.0099271189703863,0.0248555539619701,0.0308260150769774,0.0233572997586403,FALSE
0610012G03Rik,-0.0722307692307709,0.00820780420896092,0.00783459429294453,0.00553641396495862,0.019898801603395,FALSE
0610012H03Rik,-0.414564102564098,4.46E-08,7.89E-08,2.71E-08,6.44E-07,TRUE
0610025J13Rik,-0.0543589743589727,0.133857001932733,0.120565080691449,0.176906475541948,0.206900464695412,FALSE
0610030E20Rik,0.014615384615384,0.562168568217266,0.302114158646873,0.638632006160334,0.653345680136456,FALSE
0610031J06Rik,-0.054641025641029,0.033697400246285,0.0120915767074621,0.0319810029397388,0.0654603641341041,FALSE
0610037D15Rik,0.0178717948717937,0.438616755722462,0.704260835842433,0.561154644961601,0.538496713995121,FALSE
0610037L13Rik,-0.118974358974357,0.000112158236232685,1.25E-05,9.82E-05,0.000500140847178404,FALSE
0610037P05Rik,-0.0906666666666656,0.00215407689944396,0.00117936985770939,0.00385904367619607,0.00632298416707705,FALSE
0610040B10Rik,-0.0951794871794878,0.0162396663749857,0.0137069694537786,0.0145626460465742,0.0355434028286008,FALSE
0610040J01Rik,0.104897435897437,0.000101251576002605,7.89E-05,0.000114688451209527,0.000456259803596586,FALSE
0910001L09Rik,-0.0720256410256415,0.0171497330318923,0.00783459429294453,0.0255555299949946,0.0372276760195782,FALSE
1100001E04Rik,0.299051282051283,5.75E-08,7.89E-08,8.90E-09,7.93E-07,TRUE
1100001G20Rik,-0.154307692307695,0.0116233809914015,0.000542602249789775,0.00768052862016853,0.0267488205272546,FALSE
1110001A16Rik,-0.0945128205128203,0.0345380052561403,0.0161471992250881,0.0321316896656548,0.0667909406485296,FALSE
1110002B05Rik,0.0743846153846146,0.160276825616219,0.0475047791514953,0.119284081462344,0.2398936613027,FALSE
1110002N22Rik,0.0519230769230763,0.0495606308653097,0.0822985308914213,0.180533557821476,0.0902601576670177,FALSE
1110003E01Rik,-0.178051282051284,5.25E-07,3.05E-06,3.18E-07,5.14E-06,FALSE
